"","PlotNumber","ANTELAN","ERIGGLA","SILEPAR","PINUALB","LUPIARC","HIERGRA","PHLODIF","LUETPEC","VACCCAE","LUPILEP","VACCSCO","PULSOCC","PEDIBRA","ABIELAS","POTEFLA","PICEENG","VACCMEM","EREMCAP","VACCDEL","ARNILAT","VEROCUS","PHYLEMP","PENSDAV","ERIGAUR","JUNICOM","CASTMIN","CASSMER","CASTPAR","PECTBRE","THALOCC","TROLALB","VALESIT","EPILGLA","VERAVIR","PEDIRAC","DACTVIR","CALTLEP","MICRODO","SENETRI","CHAMANG","RUBUPAR","TIARTRI","STREAMP","RIBELAC","ANTIOCC","STRELAN","LONIINV","EQUIARV","RUBUPED","ANGEGEN","LONIUTA","RHODALB","ACONDEL","HERAMAX","OSMOPUR","LEPTPYR","PARNFIM","PECTPET","PAXIMYR","ABIEAMA","ORTHSEC","HIERSCO","TSUGHET","SPIRLUC","SORBSCO","EUCEENG","AMELALN","PSEUMEN","ARNICOR","PINUCON","GOODOBL","LOMAMAC","ERIOHER","ERIGCOM","SELASCO","POLEPUL","HEUCCYL","PACKCAN","SAXIAUS","PENSFRU","SEDUDIV","ARCTUVA","SEDULAN","SILEINV","AGOSAUR","ARNIPAR","CLAYLAN","PENSPRO","ACHIMIL","HIERUMB","FRAGVIR","SENEINT","POTEGLU","POLYMIN","AGOSGLA","BOECSTR","LOMADIS","RHODINT","ERIOUMB","BOECLYA","ANTERAC","ANTEUMB","HETEVIL","SILEMEN","CEANVEL","DRYMGLA","HIERTRI","TONELYA","ANGEARG","ERYTGRA","HIERALB","LILICOL","SORBSIT","ACONCOL","GALITRF","PYROASA","OSMOCHI","ACTARUB","PLATSTR","CLINUNI","NEOTCOR","SYMPFOL","CLAYPER","ANEMGRA","ATHYFIL","GYMNDRY","RIBEVIS","CHIMUMB","ERIOOVA","DRYMPSE","TARAOFF","ANTEROS","HOLODIS","VACCALA","MOEHMAC","MAHOAQU"
"1","02-3085_2019",8,1,1,2,2,1,1,4,20,1,10,1,1,31,1,6,5,7,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","02-3089_2019",8,1,0,1,1,1,0,10,0,1,5,0,0,27,0,0,0,5,0,2,5,8,1,1,2,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","12-2000_2019",0,1,0,0,2,0,0,0,0,0,3,1,1,40,4,48,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,60,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","14-4316_2019",0,30,0,0,0,0,0,0,0,0,0,0,0,49,0,17,8,0,0,7,0,0,0,0,0,0,0,0,0,4,18,45,0,7,0,2,3,15,8,1,2,2,2,4,1,1,3,30,4,3,1,9,1,1,1,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","14-4317_2019",0,0,0,0,7,0,0,0,0,0,30,0,0,29,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,30,2,4,1,3,3,1,3,2,25,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","14-4320_2019",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","14-4386_2019",1,1,1,9,1,0,5,0,0,0,3,2,0,6,0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","14-4387_2019",1,0,2,6,1,0,5,0,0,0,0,0,0,4,0,5,0,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","14-4388_2019",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,1,4,39,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","02-3085_2025",2.65,1,0,1,5,0,1,8.5,1,0,10,0,0,8.5,1,5.5,1,1.15,25,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","02-3085_Error",2.5,1,0,0,1.5,0,0,39.5,2.5,0,31,0,1,9.5,1,7,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","02-3089_2025",14,0,1,1,1,0,0,27,0,0,7.9,0,1,2,0,0,0,1,1,1,1.4,3,0,1,1,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","02-3089_Error",25.5,1,1,1,1,0,1,10,0,0,20,0,1,1,1.15,0,0,1.7,0,1,1.15,1.5,0,1,1,0,17.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","12-2000_2025",0,12.5,0,0,3,0,0,0,0,0,1,4.5,2.3,9.5,2.5,10.5,0,0,3.5,5,0,1,0,0,0,0,0,0,0,3.5,4.5,26,1,13,0,0,0,0,2.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","12-2000_Error",0,2,0,0,3,0,0,0,1,0,9.5,1,1,47.5,1,43.5,1,0,2,4.5,0,1,0,0,0,0,0,0,0,4,1,17.5,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","14-4316_2025",0,0,0,0,0,0,0,0,0,0,1,0,0,34.5,0,3,5.5,0,0,3,0,0,0,0,0,0,0,0,0,14,1,29,0,1.5,0,0,0,0,0,3.5,44,2,1,6.5,0,14.5,1.7,15.15,5,1,13,4.5,0,1,0,0,1,0,7,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.4,1,1,2,1,1.7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"17","14-4316_Error",0,0,0,0,0,0,0,0,0,0,1,0,0,15.5,0,11,4,0,0,2.5,0,0,0,0,0,0,0,0,0,1,1,24.5,0,9,0,0,0,3.05,1.5,1,1,3,1,6,0,13,1,32,12.5,0,2,14,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1,1,1,1,1,1,1,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"18","14-4317_2025",0,0,0,0,8.5,0,0,0,0,0,30,0,1,27,0,7.5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,17,1.5,2,0,3.5,4.75,2.5,0,1.5,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"19","14-4317_Error",0,0,0,0,4.5,0,0,0,0,0,49,0,0,13.75,0,5.5,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.5,0,1,0,0,3.5,1,0,1,2,1,6.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20","14-4320_2025",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,0,1,1,1,2.5,1.8,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"21","14-4320_Error",0,0,1.1,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,1,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","14-4386_2025",4,1,0,2.5,0,0,11.5,0,0,0,12,7.5,0,7.5,2,0,0,2.5,0,1,2,0,0,0,0,0,0,0,0,1,0,3.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.45,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","14-4386_Error",6.5,1,0,1,1,0,2.5,0,0,0,12.5,1,1,3.5,1,0,0,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","14-4387_2025",0,0,1.5,1.5,1,0,6,0,0,0,1,0,1,5,1,4,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0
"25","14-4387_Error",1,0,1,3,1.5,0,4.5,0,0,0,11,0,1,12,0,2.5,0,2.5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26","14-4388_2025",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,21,0,0,0,0,6,1,0,1.5,22.5,0,2,1,0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"27","14-4388_Error",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,5,1,0,6,25.25,0,0,1,0,0,0,0,0,0,0,0,1,0,2.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
